CountryName,CountryCode,color,gdp_2016,gdp_2017,gdp_2018,gdp_2019,unemp_2016,unemp_2017,unemp_2018,unemp_2019
Austria,AUT,#a80f13,45277,47427,51478,50138,6.01,5.5,4.85,4.49
Belgium,BEL,#FFFF66,41984,44193,47583,46421,7.83,7.09,5.95,5.36
Bulgaria,BGR,#00966E,7549,8334,9428,9828,7.58,6.16,5.21,4.23
Cyprus,CYP,#D57800,17906,19267,21282,20816,12.95,11.05,8.37,7.07
Czech Republic,CZE,#11457E,18575,20636,23416,23495,3.95,2.89,2.24,2.01
Germany,DEU,#FFCD00,42108,44553,47811,46445,4.12,3.75,3.38,3.14
Denmark,DNK,#8dbcf4,54664,57610,61598,60170,5.99,5.83,5.13,5.02
Spain,ESP,#e60000,26505,28170,30389,29600,19.64,17.22,15.26,14.1
Estonia,EST,#999999,18437,20458,23171,23723,6.76,5.76,5.37,4.45
Finland,FIN,#33CCFF,43784,46337,50031,48783,8.82,8.64,7.36,6.7
France,FRA,#789263,37037,38812,41631,40494,10.04,9.41,9.02,8.44
Greece,GRC,#0000ff,18116,18930,20324,19583,23.54,21.49,19.29,17.31
Croatia,HRV,#dbc6a9,12361,13452,15014,14936,13.1,11.21,8.43,6.62
Hungary,HUN,#6c1245,13091,14606,16410,16732,5.12,4.16,3.71,3.42
Ireland,IRL,#a8e549,63197,69822,78621,78661,8.37,6.71,5.74,4.95
Italy,ITA,#006600,30940,32407,34616,33228,11.69,11.21,10.61,9.95
Lithuania,LTU,#55107e,14998,16885,19176,19602,7.86,7.07,6.15,6.26
Luxembourg,LUX,#3366FF,104278,107627,116654,114705,6.29,5.52,5.59,5.6
Latvia,LVA,#aa6f73,14316,15682,17858,17829,9.64,8.72,7.41,6.31
Malta,MLT,#009999,25618,28092,30437,29821,4.69,4,3.66,3.4
Netherlands,NLD,#9999FF,46008,48675,53045,52331,6.01,4.84,3.83,3.38
Poland,POL,#ff8b94,12447,13865,15468,15693,6.16,4.89,3.85,3.28
Portugal,PRT,#a8e6cf,19978,21490,23563,23252,11.07,8.87,6.99,6.46
Romania,ROU,#ff7400,9549,10808,12400,12920,5.9,4.93,4.19,3.91
Slovak Republic,SVK,#ff4d00,16509,17557,19406,19266,9.67,8.13,6.54,5.75
Slovenia,SVN,#e6e6d1,21664,23513,26116,25946,8,6.56,5.11,4.45
Sweden,SWE,#FF99CC,51965,53792,54589,51615,6.99,6.72,6.37,6.83
