country_name,country_code
Albania,ALB
Algeria,DZA
Andorra,AND
Armenia,ARM
Aruba,ABW
Austria,AUT
Belarus,BLR
Belgium,BEL
Bermuda,BMU
Bosnia and Herzegovina,BIH
Bulgaria,BGR
Cabo Verde,CPV
Comoros,COM
Costa Rica,CRI
Croatia,HRV
Cuba,CUB
Curacao,CUW
Cyprus,CYP
Czech Republic,CZE
Denmark,DNK
Dominica,DMA
Estonia,EST
Finland,FIN
France,FRA
Germany,DEU
Gibraltar,GIB
Greece,GRC
Greenland,GRL
Grenada,GRD
Hungary,HUN
Iceland,ISL
Ireland,IRL
Italy,ITA
Kosovo,XKX
Latvia,LVA
Liechtenstein,LIE
Lithuania,LTU
Luxembourg,LUX
Malta,MLT
Monaco,MCO
Montenegro,MNE
Netherlands,NLD
North Macedonia,MKD
Norway,NOR
Poland,POL
Portugal,PRT
Romania,ROU
Serbia,SRB
Slovak Republic,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Turkey,TUR
